spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",1,0,3,,31/12/2024,99,FALSE,251667,Die With A Smile,16/08/2024,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",2,0,4,,31/12/2024,87,FALSE,169917,rosie,06/12/2024,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,3,0,8,,31/12/2024,95,TRUE,166300,The Secret of Us (Deluxe),18/10/2024,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,4,0,8,,31/12/2024,97,FALSE,210373,HIT ME HARD AND SOFT,17/05/2024,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,5,0,13,,31/12/2024,91,FALSE,170887,MUSE,19/07/2024,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",6,0,15,,31/12/2024,86,FALSE,177598,GNX,21/11/2024,0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,7,0,19,,31/12/2024,88,TRUE,175459,Short n' Sweet,23/08/2024,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36E-06,0.205,0.708,103.963,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,8,0,16,,31/12/2024,94,FALSE,211978,Sailor Song,26/07/2024,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,4
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",9,0,20,,31/12/2024,92,TRUE,256000,Timeless,27/09/2024,0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56E-06,0.111,0.57,119.973,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,10,1,26,,31/12/2024,93,FALSE,218423,"Good Luck, Babe!",05/04/2024,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
