spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,1,0,6,IE,31/12/2024,95,TRUE,166300,The Secret of Us (Deluxe),18/10/2024,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,2,0,18,IE,31/12/2024,94,FALSE,211978,Sailor Song,26/07/2024,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,4
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,3,0,26,IE,31/12/2024,79,TRUE,284066,This Wasn't Meant For You Anyway,21/06/2024,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,4,1,41,IE,31/12/2024,97,FALSE,210373,HIT ME HARD AND SOFT,17/05/2024,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,5,-1,35,IE,31/12/2024,89,TRUE,157146,The Secret of Us,21/06/2024,0.53,0.406,10,-7.507,1,0.033,0.656,0,0.133,0.338,115.94,3
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,6,1,41,IE,31/12/2024,93,FALSE,218423,"Good Luck, Babe!",05/04/2024,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",7,-1,37,IE,31/12/2024,99,FALSE,251667,Die With A Smile,16/08/2024,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,8,0,41,IE,31/12/2024,91,FALSE,157279,Short n' Sweet,23/08/2024,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",9,0,39,IE,31/12/2024,87,FALSE,169917,rosie,06/12/2024,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",10,0,40,IE,31/12/2024,85,FALSE,227195,Zach Bryan,25/08/2023,0.429,0.453,0,-7.746,1,0.0459,0.554,2.00E-06,0.102,0.155,77.639,4
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,11,1,39,IE,31/12/2024,84,FALSE,194920,Pink Skies,24/05/2024,0.525,0.488,0,-6.909,1,0.038,0.191,5.14E-05,0.135,0.253,84.999,4
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,12,-1,38,IE,31/12/2024,86,FALSE,182346,Stick Season,14/10/2022,0.664,0.5,9,-6.935,1,0.0651,0.799,0,0.0966,0.801,117.896,4
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,Chappell Roan,13,0,37,IE,31/12/2024,87,FALSE,184841,The Rise and Fall of a Midwest Princess,22/09/2023,0.742,0.757,6,-4.981,1,0.0421,0.0187,0,0.305,0.957,139.982,4
